,Unnamed: 0,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.val_MAE,metrics.loss,metrics.val_MSE,metrics.test_MSE,metrics.val_RMSE,metrics.mse,metrics.test_MAE,metrics.test_RMSE,metrics.best_val_RMSE,params.shuffle,params.opt_beta_1,params.opt_learning_rate,params.opt_epsilon,params.kernel_weight,params.opt_decay,params.sample_weight,params.kernel_regularizer,params.validation_batch_size,params.steps_per_epoch,params.class_weight,params.use_multiprocessing,params.opt_name,params.opt_amsgrad,params.learning_rate,params.num_units,params.epochs,params.validation_steps,params.workers,params.max_queue_size,params.batch_size,params.validation_split,params.activation,params.num_layers,params.validation_freq,params.initial_epoch,params.opt_beta_2,tags.mlflow.log-model.history,tags.mlflow.source.type,tags.mlflow.source.name,tags.mlflow.user,tags.mlflow.source.git.commit,tags.mlflow.parentRunId,tags.best_run,tags.mlflow.runName
10,10,42c390f1a0864c378dbf6103515ca988,1,FINISHED,./mlruns/1/42c390f1a0864c378dbf6103515ca988/artifacts,2022-04-05 12:15:37.993000+00:00,2022-04-05 12:16:06.464000+00:00,0.27861196,0.4683046638965606,0.13167402,0.12877572,0.52783704,0.1506704539060592,0.25871602,0.50864136,,True,0.9,0.0001,1e-07,1.2589254117941663e-09,0.0,None,l2,None,None,None,False,Adam,False,0.0001,90.0,1.0,None,1.0,10.0,None,0.0,tanh,9.0,1.0,0.0,0.999,"[{""run_id"": ""42c390f1a0864c378dbf6103515ca988"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:15:57.176203"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""05d44e4d3ad0445598eff431eb754127""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
11,11,9788b8cd7d7243dbb57d8c6d70413b56,1,FINISHED,./mlruns/1/9788b8cd7d7243dbb57d8c6d70413b56/artifacts,2022-04-05 12:15:36.155000+00:00,2022-04-05 12:15:58.670000+00:00,0.22216988,0.387438952922821,0.109850764,0.112739116,0.471349,0.121969386935234,0.25456798,0.5045473,,True,0.9,0.01,1e-07,5.011872336272713e-10,0.0,None,l1,None,None,None,False,Adam,False,0.01,31.0,1.0,None,1.0,10.0,None,0.0,relu,7.0,1.0,0.0,0.999,"[{""run_id"": ""9788b8cd7d7243dbb57d8c6d70413b56"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:15:52.336240"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""73aad178a3114f0085012007ef15aa10""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
12,12,ecc2bb3d10484674bee86c717b0359f6,1,FINISHED,./mlruns/1/ecc2bb3d10484674bee86c717b0359f6/artifacts,2022-04-05 12:15:14.954000+00:00,2022-04-05 12:15:33.893000+00:00,0.42060387,0.7073853611946106,0.18815652,0.18300647,0.6485398,0.2102550864219665,0.40962434,0.640019,,True,0.9,0.001,1e-07,0.0001,0.0,None,l1,None,None,None,False,Adam,False,0.001,115.0,1.0,None,1.0,10.0,None,0.0,softmax,1.0,1.0,0.0,0.999,"[{""run_id"": ""ecc2bb3d10484674bee86c717b0359f6"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:15:27.494245"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""e7ed4e38a7e3461e95b62925f5fe36e5""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
13,13,ed85821a1ce34c77955a61e3e809b0c0,1,FINISHED,./mlruns/1/ed85821a1ce34c77955a61e3e809b0c0/artifacts,2022-04-05 12:15:04.926000+00:00,2022-04-05 12:15:31.620000+00:00,0.32138318,0.5253264307975769,0.16719842,0.16652851,0.5669067,0.1663786172866821,0.31161284,0.55822295,,True,0.9,0.1,1e-07,1.584893192461111e-06,0.0,None,l2,None,None,None,False,Adam,False,0.1,24.0,1.0,None,1.0,10.0,None,0.0,relu,15.0,1.0,0.0,0.999,"[{""run_id"": ""ed85821a1ce34c77955a61e3e809b0c0"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:15:23.165571"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""7c7891b23c8e4b8faddc5b2a09e4ca23""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
14,14,0ade7ea5df18477a82aa1e2346f8e3ee,1,FINISHED,./mlruns/1/0ade7ea5df18477a82aa1e2346f8e3ee/artifacts,2022-04-05 12:14:54.625000+00:00,2022-04-05 12:15:10.296000+00:00,0.4371984,0.6426994204521179,0.19857854,0.19591862,0.6612098,0.2189896553754806,0.43241695,0.6575842,,True,0.9,0.001,1e-07,0.0001584893192461,0.0,None,l2,None,None,None,False,Adam,False,0.001,43.0,1.0,None,1.0,10.0,None,0.0,softmax,3.0,1.0,0.0,0.999,"[{""run_id"": ""0ade7ea5df18477a82aa1e2346f8e3ee"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:15:04.025767"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""cb720891598e4bf08eadcbc6fe514a20""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
15,15,5cbbb1c2efe3429890c1cb6d9eb9d298,1,FINISHED,./mlruns/1/5cbbb1c2efe3429890c1cb6d9eb9d298/artifacts,2022-04-05 12:14:31.376000+00:00,2022-04-05 12:14:49.990000+00:00,0.19422597,0.3677800297737121,0.10302574,0.10323857,0.44071075,0.113672100007534,0.19895661,0.44604552,,True,0.9,0.01,1e-07,7.943282347242806e-08,0.0,None,l1,None,None,None,False,Adam,False,0.01,59.0,1.0,None,1.0,10.0,None,0.0,tanh,1.0,1.0,0.0,0.999,"[{""run_id"": ""5cbbb1c2efe3429890c1cb6d9eb9d298"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:14:44.282710"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""55fbcde983e542d49cfd9844cf3b5aab""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
16,16,2115c0c2e9664788b7f21c0b284b3722,1,FINISHED,./mlruns/1/2115c0c2e9664788b7f21c0b284b3722/artifacts,2022-04-05 12:14:28.470000+00:00,2022-04-05 12:15:00.779000+00:00,0.32883874,1.7283353805541992,0.16478452,0.16544832,0.5734446,0.1774547696113586,0.32858288,0.5732215,,True,0.9,0.1,1e-07,0.0003981071705534,0.0,None,l2,None,None,None,False,Adam,False,0.1,68.0,1.0,None,1.0,10.0,None,0.0,relu,20.0,1.0,0.0,0.999,"[{""run_id"": ""2115c0c2e9664788b7f21c0b284b3722"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:14:51.272012"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""c5e87967851041728a3835e377040acc""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
17,17,ea891bca691d402ab4fd88c2528685c5,1,FINISHED,./mlruns/1/ea891bca691d402ab4fd88c2528685c5/artifacts,2022-04-05 12:13:51.982000+00:00,2022-04-05 12:14:26.835000+00:00,0.32152173,0.553743839263916,0.16392057,0.16791968,0.5670289,0.1763002872467041,0.30185986,0.54941773,,True,0.9,0.001,1e-07,1.5848931924611107e-05,0.0,None,l2,None,None,None,False,Adam,False,0.001,89.0,1.0,None,1.0,10.0,None,0.0,sigmoid,15.0,1.0,0.0,0.999,"[{""run_id"": ""ea891bca691d402ab4fd88c2528685c5"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:14:20.431167"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""2d60265afef045da9351a7a5ead1cb23""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
18,18,f2c0f6b4bb9e472595fb127888af5bdc,1,FINISHED,./mlruns/1/f2c0f6b4bb9e472595fb127888af5bdc/artifacts,2022-04-05 12:13:51.474000+00:00,2022-04-05 12:14:23.733000+00:00,0.2286799,0.4738231301307678,0.11707902,0.114788055,0.47820488,0.1552554368972778,0.23132916,0.4809669,,True,0.9,0.001,1e-07,7.943282347242822e-10,0.0,None,l1,None,None,None,False,Adam,False,0.001,49.0,1.0,None,1.0,10.0,None,0.0,relu,13.0,1.0,0.0,0.999,"[{""run_id"": ""f2c0f6b4bb9e472595fb127888af5bdc"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:14:15.605877"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""3bbcc6c1a20c4658848b709f665d7065""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
19,19,0f184b1ab63241d6abe3ce5f67f1bf06,1,FINISHED,./mlruns/1/0f184b1ab63241d6abe3ce5f67f1bf06/artifacts,2022-04-05 12:13:14.744000+00:00,2022-04-05 12:13:47.331000+00:00,0.33669114,67.62348937988281,0.16362014,0.16562167,0.5802509,0.1765270829200744,0.33887097,0.58212626,,True,0.9,0.01,1e-07,0.0794328234724281,0.0,None,l1,None,None,None,False,Adam,False,0.01,110.0,1.0,None,1.0,10.0,None,0.0,relu,9.0,1.0,0.0,0.999,"[{""run_id"": ""0f184b1ab63241d6abe3ce5f67f1bf06"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-04-05 12:13:37.320395"", ""flavors"": {""keras"": {""keras_module"": ""tensorflow.keras"", ""keras_version"": ""2.8.0"", ""save_format"": ""tf"", ""data"": ""data""}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.0"", ""data"": ""data"", ""env"": ""conda.yaml""}}, ""model_uuid"": ""8f3c459f441e4cc79d18dc25b8f4fbc6""}]",LOCAL,C:\Program Files\spark-3.2.1-bin-hadoop3.2\python\lib\pyspark.zip\pyspark\worker.py,Gebruiker,,,,
